ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID,rc
Hungarian-614-zuruck-2,144,Hungarian,614-zuruck,vissza,vissza,v i sː ɒ,,uesz,,,^ vissza $,default, zurück;   Streit;   Rückseite;   wieder;   verkehrt;   als Erwiderung; in entgegengesetzte Richtung;  gegensätzlich;   in früheren Zustand;   in frühere Zeit;  Widerspruch;   mißfällige Sache;   Gegenteil;   Übelstand;  Übelstand;   Rückweg;   Widrigkeit,zuruck-6,9954-vissza,sː not old
Hungarian-559-schlecht-1,151,Hungarian,559-schlecht,rossz,rossz,r o sː,,uesz,,,^ rossz $,default,  schlimm;  mager; schlecht;   schwach;  wertlos;  schändlich;   〈als Schimpfwort〉;  Fallsucht;  Übel;   unartig;  unredlich 〈Person〉;   unredliche Person;   unerwünschte Sache;  Böses;   böse Tat;   schlechter;  wertloser Teil von etw;   schwere Krankheit;  Schlaganfall usw,schlecht-6,7935-rossz,"#r, sː# not old"
Hungarian-445-ungluck-1,156,Hungarian,445-ungluck,katasztrófa,katasztrófa,k ɒ t ɒ s t r oː f ɒ,,uesz,,,^ katasztrófa $,default, Unglück;  Unglück; überraschende Wendung; überraschende Wendung;  schweres;  schweres;  verhängnisvolles Unheil;  verhängnisvolles Unheil;   Lösung des Konflikts 〈im Drama;   Lösung des Konflikts 〈im Drama;  Epos〉;  Epos〉,Ungluck-2,4538-katasztrofa,"str, f not old"
Hungarian-445-ungluck-2,158,Hungarian,445-ungluck,tragédia,tragédia,t r ɒ ɡ eː d i ɒ,,uesz,,,^ tragédia $,default,  Unglück;  Tragödie; Trauerspiel,Ungluck-4,9428-tragedia,"#tr, iɒ# not old"
Hungarian-339-tasche-1,159,Hungarian,339-tasche,táska,táska,t aː ʃ k ɒ,,uesz,,,^ táska $,default,  Schote;  Hülse; Ranzen;   Art gefüllte Mehlspeise;   Beutel;  Tasche;  oft mit Traggriff;   Anschwellung der Haut;  flache Vorwölbung am Wandputz,Tasche-1,9084-taska,^(t)(a|aː|i|m)(t͡ʃk)(a|u|ai)?(ɣ|i|iɣ|y)?$
Hungarian-962-backen-1,162,Hungarian,962-backen,süt,süt,ʃ y t,,uesz,,,^ süt $,default,  schlagen;   Bäcker;   brennen;  bloßstellen;   Bratpfanne;   sich sonnen; braten;   braten;  backen 〈trans〉;  scheinen 〈zB Sonne〉;   brandmarken;   Brand 〈Pflanzenkrankheit〉 verursachen;  brennend schmerzen 〈Frost〉;   abfeuern 〈Waffe〉;   niederschlagen〈 Augen〉;  senken 〈Kopf;  Ohren〉;   loslassen;  an den Mann bringen;   steckenbleiben machen;   ungeschickt abfassen;  holperige Verse machen;   die Haare brennen;   Backofen;   röhre;   Backwer;  backen;   Gebäck,backen-1,8474-sut,^(ʃ|t͡ʃ|s)(i|y|ɛ|ø)(t|r)(ɣ|i|iɣ|y)?$
Hungarian-114-rinde-1,163,Hungarian,114-rinde,héj,héj,h eː j,,uesz,,,^ héj $,default, Schale;   Dach;   Dach;   Augenlid; Rinde;   Bettüberzug;   Schuppe;   Dach decken,Rinde-1,3477-hej,^(h|ks|u)(ɛ|i|eː|ø|e)(j|ɣ)(ɣ|i|iɣ)?$
Hungarian-114-rinde-2,165,Hungarian,114-rinde,kér² †,kér,k eː r,,uesz,,,^ kér $,default, Rinde; Kruste,Rinde-3,4583-ker,^(k)(ɛ|i|eː|ø|e)(r|v|ɣ|t|w)(ɣ|i|iɣ|y)?$
Hungarian-726-bellen-1,167,Hungarian,726-bellen,ugat,ugat,u ɡ ɒ t,,uesz,,,^ ugat $,default, faseln; bellen;   jmdn anfeinden;  jmdm Böses nachreden,bellen-1,9567-ugat,^(u)(ɡ|n|ɡl)(a|o|ɒ|i)(t|r)(ɣ|i|iɣ|y)?$
Hungarian-974-baden-1,168,Hungarian,974-baden,füröszt,füröszt,f y r ø s t,,uesz,,,^ füröszt $,default,baden;  im Bad abwaschen,baden-1,2845-furoszt,#f not old
Hungarian-107-bucht-1,170,Hungarian,107-bucht,öböl,öböl,ø b ø l,,uesz,,,^ öböl $,default, Busen;   Bucht; Brust;   innerer;  hohler Teil eines bauchigen Gefäßes od eines anderen Gegenstandes;   Kaliber,Bucht-2,6555-obol,^(y|ø|ɛ|i)(b)(y|ɛ|ø)(l|ɣ)?(ɣ|i)?$
Hungarian-813-konnen-1,171,Hungarian,813-konnen,hat¹,hat,h ɒ t,,uesz,,,^ hat $,default,  Wirkung;   haben;    dringen;  vermögen; können;   ergreifen;  packen 〈Gefühl〉;   wirken;  wirksam sein;   erscheinen;  anmuten;   Behausung;   über Macht verfügend;   wirksam;   wirksam;   ungangbar;   Eindringen;   durchdrungen werden;   gerührt sein;   rührend,konnen-1,3435-hat,^(h|ks|u)(a|o|ɒ|i)(t|r)(ɣ|i|iɣ|y)?$
Hungarian-813-konnen-2,172,Hungarian,813-konnen,tud,tud,t u d,,uesz,,,^ tud $,default,  einrechnen;  meinen;   Gelehrter;  ahnen;   Erkundigung;   Wissenschaft;   können;  verrichten;   überzeugt sein;  abtragen; jmdn kennen;  von jmdm Kenntnis haben;  etw wissen;  entschlossen sein;  Zuversicht haben;   mit jmdm Geschlechtsverkehr haben;  aufrechnen;  aufschreiben;   jmdn um etw bringen;  jmdn verjagen;   abrechnen;   gelehrt;   gelehrt;   Wissen;   überklug;   überklug;  gelehrsam;   Bewußtsein,konnen-2,9483-tud,^(t)(u|ɯ|r)(n)?(ɣ|i|iɣ|y)?$
Hungarian-733-leben-1,173,Hungarian,733-leben,él¹,él,eː l,,uesz,,,^ él $,default, Nahrung;  gebrauchen;  gebrauchen;   Amme;   Amme; leben; leben;   sich nähren;   sich nähren;  sich erhalten;  sich erhalten;   benützen;   benützen;   mit jemandem 〈dauernd〉zusammen sein;  mit jemandem zusammen wohnen;   irgendein Leben führen;  irgendwelchem Zustand sein;   in dauerndem Geschlechtsverhältnis leben;  in ehelichem Verhältnis leben;   sich aufhalten;  wohnen;  wohnen;   Lebensmittel;   Lebensmittel;   Lebensmittel;  Lebensmittel;   Lebensmittel;  élet;  használat;  használat;   Lebendige;   Lebendige;   életmód;   Leben;   Leben;   Leben;   Leben;  megélhetés;   Unterhalt;   Unterhalt;  Fortkommen;  Fortkommen;   Getreide;   Getreide;  ház és udvar;  belsőség;   nähren;   nähren;  beleben;  beleben;  valaminek a használatára késztet;   hochleben lassen;   hochleben lassen;   Lebens-;   Lebens-;   bejahrt werden;   bejahrt werden;   bejahrt werden;   bejahrt werden;   lebhaft werden;   lebhaft werden;  erstarken;  erstarken;   genießbar;   genießbar;  brauchbar;  brauchbar;  életrevaló;  életképes;  táplál;   Hefe;   Hefe;   sich fristen;   sich fristen;  valamiből él;   schmarotzen;   schmarotzen;  Zehrung;  Zehrung;  élvezet;   Erlebnis;   Erlebnis;   lebenslang ;   lebenslang;   mit jmdm zusammenleben;  bei jmdm leben;    Leben führen;  sich  befinden;   mit jmdm  leben;   verweilen;  Broterwerb,leben-1,2106-el,^(ɛ)(l|ɣ|r|j)?(ɣ|i|iɣ|y)?$
Hungarian-733-leben-2,176,Hungarian,733-leben,eleven,eleven,ɛ l ɛ v ɛ n,,uesz,,,^ eleven $,default,  gesund; lebend;   lebend;   flink;  beweglich;  lebhaft;   unter der Furche liegend;  vom Pflug nicht berührt 〈Boden〉;   wunder Punkt 〈abstr〉;   tot,lebend-1,2128-eleven,^(ɛ|i)(l|rl)(ɛ|i)(v|ɣ)(ɛ|i)(n|ɣ)(ɣ)?$
Hungarian-795-sichargern-1,179,Hungarian,795-sichargern,prüszköl,prüszköl,p r y s k ø l,,uesz,,,^ prüszköl $,default,  sich ärgern; niesen;   schnauben 〈Pferd〉;   sich vor etwas scheuen;   pusten 〈Maschine;  bes. Lokomotiv〉,sichargern-2,7510-pruszkol,"#pr, sk not old"
Hungarian-553-hungrig-1,184,Hungarian,553-hungrig,éh,éh,eː h,,uesz,,,^ éh $,default,hungrig;   Hunger;   Hungernder;   hungrig werden,hungrig-1,2085-eh,h# not old
Hungarian-141-bar-1,187,Hungarian,141-bar,mackó²,mackó,m ɒ t͡s k oː,,uesz,,,^ mackó $,default,Bär;   Kassenschrank;   Overall;  Trainingsanzug,Bar-1,5754-macko,t͡sk not old
Hungarian-141-bar-2,188,Hungarian,141-bar,medve,medve,m ɛ d v ɛ,,uesz,,,^ medve $,default,Bär;   Ofensau;   Getreidehaufen;  der beim Drusch auf der Tenne vom Regen naß geworden ist;   mürrischer Mensch,Bar-2,5974-medve,dv not old
Hungarian-13-bart-1,191,Hungarian,13-bart,szakáll,szakáll,s ɒ k aː lː,,uesz,,,^ szakáll $,default, Wamme; Bart;   Bart;   〈zur Benennung versch Pflanzen〉;   Moos;   Fleischlappen am Hühnerschnabel;   aus dem Stiel od Heft herausstehender Werkzeugteil;   Wildling der Wurzel;   Schweif des Kometen;  Fadenschopf 〈bei Pflanzen〉;   Tabakschmutz an der Meerschaumpfeife;   Wallbüchse 〈Art Kanone〉,Bart-2,8516-szakall,lː# not old
Hungarian-501-schon-1,199,Hungarian,501-schon,ragyiva ×,ragyiva,r ɒ ɟ i v ɒ,,uesz,,,^ ragyiva $,default,  betriebsam; hübsch;  schön;   gebildet;  verfeinert;  erfinderisch,schon-8,7618-ragyiva,#r not old
Hungarian-501-schon-2,200,Hungarian,501-schon,szép,szép,s eː p,,uesz,,,^ szép $,default,schön;   schön;  groß;   richtig;   Schönheit;  das Beste;  nützlich;  bedeutend;   beträchtlich;  schicklich;   günstig;   das Schönste;   die Schöne,schon-9,8708-szep,^(s)(ɛ|i|eː|ø|e)(p)(ɣ|i|iɣ|y)?$
Hungarian-636-wegen-1,214,Hungarian,636-wegen,tőle,tőle,t øː l ɛ,,uesz,,,^ tőle $,default,  durch;   von;  von;   von;  aus;   wegen; von 〈haupts bei passiven Verben〉;   als er 〈vergleichend〉;   seitens;   mit ihm;   rechts! 〈als Treibew〉;   von jmdm aus,wegen-12,9371-tole,^(t)(ɛ|ɛɥ|y|ɛy|øː)(l|rl|ɣ|lk)(ɛ)?(ɣ|i)?$
Hungarian-636-wegen-2,216,Hungarian,636-wegen,végett,végett,v eː ɡ ɛ tː,,uesz,,,^ végett $,default,wegen;  zwecks;   infolge;   endlich;  halber;   meinethalber;  deinethalber usw;   meinetwillen;  deinetwillen usw,wegen-14,9792-vegett,tː# not old
Hungarian-681-werden-1,221,Hungarian,681-werden,lesz,lesz,l ɛ s,,uesz,,,^ lesz $,default, existieren;  entstehen;   geschehen; sein;   zu etw werden;  werden;   〈Ersatzverb für versch Formen des Verbs → van¹〉;   geboren werden,werden-5,5595-lesz,^(v)(ɛ|i|ø|y|a)(s|ʃ|z)?(ɣ|i|iɣ|y)?$
Hungarian-745-krankwerden-1,226,Hungarian,745-krankwerden,romlik,romlik,r o m l i k,,uesz,,,^ romlik $,default,  zugrunde gehen;   erkranken;  -sinken;  sinken;   faulen;  einstürzen;  verschleißen;  dahinschwinden;   abmagern; verfallen;  zusammenbrechen;  modern;  vergehen;  sich abnützen;  verkommen;   Untergang;   sittlich verderben 〈intrans〉;  niedergehen 〈in bezug auf Ansehen;  Macht usw〉;   brechen;  bröckeln 〈intrans〉;   ungünstiger werden;  sich verschlechtern;   an Wert einbüßen;  den Wert verlieren;   sich mühsam herein-;  hinein- bzw heraus-;  hinausschleppen;  Verderben,erkranken-4,7910-romlik,#r not old
Hungarian-314-bett-1,229,Hungarian,314-bett,ágy,ágy,aː ɟ,,uesz,,,^ ágy $,default,Flußbett; Flußbett;   Bett;   Bett;  Lagerstätte;   Lafette;   Lafette;   Essiglager;   Essiglager;  Bodensatz;  Bodensatz;   Beet;   Beet;   〈als Symbol der Familie〉;   〈als Symbol der Familie〉;   Streu;   Streu;   Bettzeug;   Bettzeug;   auf der Tenne ausgebreitetes Getreide bzw. aisgebreitete Garben;   Konkubine ;   Konkubine ;   ausgebreitetes Getreide;  ausgebreitete Garben 〈auf der Tenne〉,Bett-1,108-agy,ɟ# not old
Hungarian-314-bett-2,233,Hungarian,314-bett,nyoszolya ×,nyoszolya,ɲ o s o j ɒ,,uesz,,,^ nyoszolya $,default,  Bett;  Totenbahre; Tragbahre;  Liege;   Gleitschragen,Bett-5,6525-nyoszolya,^(n)(u|o|a)(s|sk|ɣs)(u|o|a)(j|ɣ)(a|u)$
Hungarian-599-vorher-1,234,Hungarian,599-vorher,elöl,elöl,ɛ l ø l,,uesz,,,^ elöl $,default,  vorwärts; vorn;  vor 〈als VPräf〉;   zuvor;  früher;   von vorne,zuvor-1,2148-elol,^(ɛ|i)(l|rl|ɣ)(y|ɛ|ø)(l|ɣ)?(ɣ)?$
Hungarian-815-anfangen-1,236,Hungarian,815-anfangen,indít,indít,i n d iː t,,uesz,,,^ indít $,default,bewegen;  anregen;   verursachen;  antreiben;   in Bewegung setzen;  rücken;   anreizen;   abgehen lassen;   empören;   rühren;   anfangen,anfangen-1,3879-indit,^(i|y|ɛ|v)(n|nd)(i|iː)(t|r)(ɣ|i|iɣ)?$
Hungarian-815-anfangen-2,238,Hungarian,815-anfangen,nyit,nyit,ɲ i t,,uesz,,,^ nyit $,default,öffnen;   beginnen;  anfangen;   blühen 〈Blume〉;    bieten;   Aufmachen 〈im Wienbau〉,anfangen-3,6517-nyit,^(n)(i|y|a|ɛ|ɯ)(t|r)(ɣ|i|iɣ|y)?$
Hungarian-994-glauben-1,240,Hungarian,994-glauben,hisz¹,hisz,h i s,,uesz,,,^ hisz $,default,  meinen;  denken;   vertrauen;   sich überheben; glauben;   an jmdn glauben;   Gläubige;   Irreführung;   in der Meinung,glauben-1,3597-hisz,^(h|ks|u)(i|y|a|ɛ)(s|ʃ)?(ɣ|i)?$
Hungarian-21-bauch-1,242,Hungarian,21-bauch,bendő,bendő,b ɛ n d øː,,uesz,,,^ bendő $,default,  Magen;   Magen; Bauch; Bauch;   Wamme;   Wamme;  Pansen;  Pansen;   Rinblase;   Rinblase;   Art Behälter;   Art Behälter;  bauchiger Krug;  bauchiger Krug;   Kuttel;   Kuttel;   wulstige Wurzel;   wulstige Wurzel,Bauch-1,1097-bendo,^(b)(ɛ|i|ø|y|a)(n|nd)(ɛ|i|yː)(ɣ|i|iɣ)?$
Hungarian-21-bauch-2,245,Hungarian,21-bauch,has,has,h ɒ ʃ,,uesz,,,^ has $,default, schwanger; Bauch;  Vorderteil des Rumpfes;   Gebärmutter;  Unterleib der Schwangeren;   Bauch des Kruges;   bauchig;   tragend;   Blutfluß haben;   auf dem Bauch liegen;    erfinden;  faseln;   Ruhr;   aufs Geratewohl 〈sagen〉,Bauch-4,3426-has,^(h|ks|u)(a|o|ɒ|i)(t͡ʃ|ɣ)?(ɣ|i)?$
